0.004681	0.995319	
0.018497	0.981503	
0.004684	0.995316	
0.004526	0.995474	
0.007664	0.992336	
0.092563	0.907437	
0.419588	0.580412	
0.007980	0.992020	
0.017532	0.982468	
0.002509	0.997491	
0.001858	0.998142	
0.114635	0.885365	
0.026674	0.973326	
0.013419	0.986581	
0.000732	0.999268	
0.165145	0.834855	
0.533272	0.466728	
0.004194	0.995806	
0.136130	0.863870	
0.007164	0.992836	
0.957190	0.042810	
0.871988	0.128012	
0.999735	0.000265	
0.987823	0.012177	
0.972539	0.027461	
0.201758	0.798242	
0.997324	0.002676	
0.999113	0.000887	
0.988696	0.011304	
0.884241	0.115759	
0.999573	0.000427	
0.196104	0.803896	
0.861524	0.138476	
0.997734	0.002266	
0.886090	0.113910	
0.901078	0.098922	
0.997878	0.002122	
0.973690	0.026310	
0.965159	0.034841	
0.841543	0.158457	
