"Time" "X"
"1" 0 0
"2" 0.0005900651339629 1
"3" 0.000948963983626414 2
"4" 0.00124601858133493 3
"5" 0.0120601785021702 2
"6" 0.0212122912981934 3
"7" 0.0364003772408512 2
"8" 0.0383381556539159 3
"9" 0.0383500128919356 4
"10" 0.0399442177615889 5
"11" 0.0411054290158578 6
"12" 0.0532344963045478 5
"13" 0.0547575542590297 6
"14" 0.0587695096673498 7
"15" 0.0640916267196136 8
"16" 0.0718440120245483 7
"17" 0.072938727099792 8
"18" 0.0741964149668677 9
"19" 0.0775419380776821 8
"20" 0.0823841510482748 9
"21" 0.102457454161334 8
"22" 0.104144659449031 7
"23" 0.104582091973789 8
"24" 0.108850784369658 7
"25" 0.119891823877048 6
"26" 0.126273526898895 5
"27" 0.14717174174967 6
"28" 0.169966770928657 5
"29" 0.173195394175539 4
"30" 0.186239915334603 3
"31" 0.19014912816816 4
"32" 0.199166536508162 3
"33" 0.215673105630766 2
"34" 0.238880659191784 1
"35" 0.241871742745292 0
"36" 0.245649044968618 1
"37" 0.24566292291468 2
"38" 0.246664831282752 3
"39" 0.247983165002408 4
"40" 0.248084420689824 5
"41" 0.251864230076314 6
"42" 0.256454313040772 7
"43" 0.257438186182284 8
"44" 0.26103060330048 9
"45" 0.261699756887774 10
"46" 0.271409105423542 9
"47" 0.303270334979904 8
"48" 0.303786286532995 9
"49" 0.342555312047809 8
"50" 0.343988833604449 9
"51" 0.35330683114175 8
"52" 0.358562814191293 7
"53" 0.358582250125151 8
"54" 0.363456898016015 7
"55" 0.365615495468626 8
"56" 0.387337167844671 7
"57" 0.400145421761605 6
"58" 0.411616474911988 5
"59" 0.437999073873075 4
"60" 0.440029492398539 5
"61" 0.448721694884134 4
"62" 0.454836944324964 3
"63" 0.456673120210188 4
"64" 0.461824136648422 3
"65" 0.462772836404186 4
"66" 0.482542635550617 3
"67" 0.483847782580748 4
"68" 0.485028779555552 5
"69" 0.488852998038082 4
"70" 0.531392795967368 3
"71" 0.532332051358165 4
"72" 0.534092446271125 3
"73" 0.536315371260003 4
"74" 0.536927244183586 5
"75" 0.564625069585618 4
"76" 0.567251664233644 5
"77" 0.572518100203132 4
"78" 0.595324400219828 3
"79" 0.604494092444664 4
"80" 0.605073005095754 5
"81" 0.605818380775319 6
"82" 0.606402457688977 7
"83" 0.607842558754728 6
"84" 0.609530285685723 7
"85" 0.609746971248253 8
"86" 0.630252268380852 7
"87" 0.655427652602917 6
"88" 0.663432777923802 5
"89" 0.689844182718835 4
"90" 0.69014533805635 5
"91" 0.692444002536379 6
"92" 0.695329614825295 7
"93" 0.69716318043385 6
"94" 0.70313681152482 7
"95" 0.712160411308333 6
"96" 0.712501747461306 7
"97" 0.712607291078355 6
"98" 0.716872224072636 7
"99" 0.721487215846714 6
"100" 0.726381337735221 7
"101" 0.733918838067302 6
"102" 0.736385584946489 7
"103" 0.793657583512261 6
"104" 0.795422005895576 5
"105" 0.79643072683674 6
"106" 0.797966094546773 7
"107" 0.804748257828836 6
"108" 0.808100861033098 7
"109" 0.80861497527096 8
"110" 0.809744572889758 9
"111" 0.811314617075856 10
"112" 0.816197415354153 9
"113" 0.820474868770496 8
"114" 0.821899030431373 9
"115" 0.852186186013508 8
"116" 0.853322198423065 9
"117" 0.858023034175437 8
"118" 0.865701872128487 7
"119" 0.867570544676281 8
"120" 0.86936570214943 9
"121" 0.87293132207478 10
"122" 0.880895065771102 11
"123" 0.895552461703727 10
"124" 0.896998794431386 9
"125" 0.918722020677386 8
"126" 0.921279019985118 7
"127" 0.922959848340166 6
"128" 0.924563872259492 7
"129" 0.924586232410379 8
"130" 0.937079011016353 7
"131" 0.95197305798439 6
"132" 0.95461071480991 7
"133" 0.95614535253569 8
"134" 0.966096142097419 7
"135" 0.966538697473448 8
"136" 0.966547439346704 9
"137" 0.970876419311344 10
"138" 0.973589401575305 11
"139" 0.97556109050991 12
"140" 0.984694810976038 11
"141" 0.986290664552947 10
"142" 1.02723719019203 9
"143" 1.07477756461037 8
"144" 1.07813127595159 9
"145" 1.08120417164139 8
"146" 1.09875984740797 7
"147" 1.09925112046313 8
"148" 1.10285026424869 7
"149" 1.10302047391265 6
"150" 1.10441423875648 7
"151" 1.11918642452853 6
"152" 1.12042083522484 7
"153" 1.12398876505865 8
"154" 1.12619730706612 9
"155" 1.13570700805591 8
"156" 1.13906527341467 7
"157" 1.14452003461846 8
"158" 1.15389441860995 7
"159" 1.16940376183479 6
"160" 1.1817857759712 5
"161" 1.18311554284019 6
"162" 1.18709190827325 5
"163" 1.19493833719759 4
"164" 1.19500345209081 5
"165" 1.19698802771555 6
"166" 1.1987117886875 7
"167" 1.20304680110979 8
"168" 1.20800702158297 9
"169" 1.2244344396814 8
"170" 1.2273286832978 9
"171" 1.22834342011168 10
"172" 1.24039599771993 9
"173" 1.26768746461919 8
"174" 1.28009461355996 7
"175" 1.28021226857706 8
"176" 1.28032070131959 9
"177" 1.28247483381179 10
"178" 1.28578919011126 11
"179" 1.29389694063932 12
"180" 1.30812008305081 11
"181" 1.30820816209323 12
"182" 1.32660322884317 11
"183" 1.33586613475106 10
"184" 1.33869599757263 9
"185" 1.36288666097999 8
"186" 1.40144007492547 7
"187" 1.40374940127726 6
"188" 1.40553572495618 7
"189" 1.4070450848128 8
"190" 1.40923778781677 7
"191" 1.40930241262889 8
"192" 1.4319945139001 7
"193" 1.43307494168114 6
"194" 1.44458975484547 5
"195" 1.44604822722182 6
"196" 1.44837589115493 7
"197" 1.44858043917673 8
"198" 1.45089029958528 9
"199" 1.45251611730356 8
"200" 1.45966231612517 7
"201" 1.46896062482504 8
"202" 1.46962541023503 9
"203" 1.47245763160014 10
"204" 1.47351511119499 11
"205" 1.47428775273021 12
"206" 1.4748075160789 13
"207" 1.47698233304991 12
"208" 1.47785187456214 13
"209" 1.48020646080715 14
"210" 1.52997645254595 13
"211" 1.54355681217018 12
"212" 1.54731036689127 11
"213" 1.59781527296794 10
"214" 1.60324015356515 9
"215" 1.61634201329593 8
"216" 1.61987349034096 9
"217" 1.6292495350785 8
"218" 1.63058824030465 9
"219" 1.63165239907422 8
"220" 1.63251983180133 9
"221" 1.63436005930322 10
"222" 1.6402386123279 9
"223" 1.64549883810757 10
"224" 1.64813768511277 9
"225" 1.64929530940239 10
"226" 1.65321430987969 11
"227" 1.66941523344769 10
"228" 1.67305629033673 9
"229" 1.681592536915 8
"230" 1.69007343411392 7
"231" 1.69314295779591 8
"232" 1.69455362566788 9
"233" 1.69779940337105 8
"234" 1.69882796094129 9
"235" 1.70037883218854 10
"236" 1.70058672299346 11
"237" 1.70328785655856 10
"238" 1.70719074110378 9
"239" 1.72272301429288 8
"240" 1.73954881406772 7
"241" 1.77412891583926 6
"242" 1.81858719482309 5
"243" 1.82134441635912 6
"244" 1.83009083518546 5
"245" 1.83200024735239 4
"246" 1.8338655477905 5
"247" 1.83810631441525 6
"248" 1.83929402396419 7
"249" 1.83960752472183 8
"250" 1.84268196413327 9
"251" 1.84404402583694 10
"252" 1.85547889764266 9
"253" 1.90503756976218 8
"254" 1.92027654962854 7
"255" 1.93005252798133 6
"256" 1.93075839318154 7
"257" 1.93550154328275 8
"258" 1.94329788834846 7
"259" 1.95240369267498 6
"260" 1.95574804326335 5
"261" 1.95775979727802 6
"262" 1.95779949670362 5
"263" 1.95804303542712 4
"264" 1.97344059957103 3
"265" 1.97834674875488 4
"266" 1.99164648648931 3
"267" 1.99238424063074 4
"268" 2.01942521039433 3
"269" 2.02122566660412 4
"270" 2.04910499622737 3
"271" 2.05656613935878 4
"272" 2.05760246332172 5
"273" 2.05825052292066 6
"274" 2.0587134865945 7
"275" 2.06329169422934 8
"276" 2.07230556766902 7
"277" 2.07310564880725 8
"278" 2.07557695468833 9
"279" 2.07604982498529 8
"280" 2.08589949281924 9
"281" 2.1303316029349 8
"282" 2.18172617258108 7
"283" 2.18410337941903 6
"284" 2.21185659783355 5
"285" 2.212764386706 6
"286" 2.21290879409265 7
"287" 2.21302706919687 8
"288" 2.22207156287682 7
"289" 2.22449815881896 8
"290" 2.2458135484621 7
"291" 2.25791846615031 8
"292" 2.2785196968518 7
"293" 2.27903669927883 8
"294" 2.28582111804769 9
"295" 2.28615384584683 10
"296" 2.29014251742942 11
"297" 2.31652351507814 10
"298" 2.32067208770521 11
"299" 2.33877188812463 10
"300" 2.34703252217576 9
"301" 2.34732317236036 10
